group_rank,group_id,group_name,market_lane,lifecycle_stage,market_fit_grade,theme_id,theme_evidence_grade,relative_strength_pct,relative_strength_grade,breadth_grade,turnover_concentration_grade,core_role_hit_grade,contra_evidence_penalty,market_board_amount_raw,market_board_count_raw,clx_stock_count,shortlist_count,core_hit_count,clx_group_amount_yi,clx_group_avg_return_pct,representative_symbols,fit_reason,contra_evidence,sort_key,evidence_ids
11,玻璃行业,玻璃行业,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,2,0,0,164.19238900000002,3.865673791873059,600176 中国巨石;601636 旗滨集团,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|玻璃行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
12,生物制药,生物制药,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,25,0,0,97.571733,1.1614792421268354,002603 以岭药业;002693 双成药业;300142 沃森生物;600201 生物股份;600267 海正药业,已有业务行业但未映射冻结主题 | CLX组内25只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|生物制药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
13,电子信息,电子信息,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,14,0,0,229.751646,5.716630875739615,000977 浪潮信息;300017 网宿科技;300166 东方国信;300390 天华新能;002230 科大讯飞,已有业务行业但未映射冻结主题 | CLX组内14只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|电子信息,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
14,集成电路制造,集成电路制造,unclassified,not_located,low,,unknown,,unknown,unknown,strong,unknown,2,,,2,0,0,116.662136,0.8806029283278893,688981 中芯国际;688396 华润微,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|0|5|4|2|集成电路制造,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
15,医疗器械,医疗器械,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,5,0,0,46.704651000000005,6.324997208694514,002432 九安医疗;300244 迪安诊断;300238 冠昊生物;300412 迦南科技;301363 美好医疗,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|医疗器械,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
16,半导体,半导体,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,6,0,0,33.317257,5.665491877033502,688172 燕东微;688392 骄成超声;688790 昂瑞微;688795 摩尔线程;688489 三未信安,已有业务行业但未映射冻结主题 | CLX组内6只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|半导体,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
17,印制电路板,印制电路板,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,3,0,0,41.372355,10.73189850792627,300936 中英科技;688183 生益电子;300657 弘信电子,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|印制电路板,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
18,发电设备,发电设备,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,5,0,0,36.24677,4.230994352979907,600312 平高电气;000682 东方电子;300040 九洲集团;300120 经纬辉开;600580 卧龙电驱,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|发电设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
19,无线耳机,无线耳机,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,3,0,0,37.733095,5.879030404434811,300661 圣邦股份;603283 赛腾股份;603626 科森科技,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|无线耳机,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
20,机械行业,机械行业,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,13,0,0,58.733302,4.082123561276466,002552 宝鼎科技;601100 恒立液压;002009 天奇股份;002445 中南文化;002472 双环传动,已有业务行业但未映射冻结主题 | CLX组内13只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|机械行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
21,金融行业,金融行业,unclassified,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,5,0,0,38.877044999999995,0.11929867860496879,600999 招商证券;000728 国元证券;601336 新华保险;601377 XD兴业证;601788 光大证券,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|1|5|4|2|金融行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
22,光学元件,光学元件,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,2,0,0,22.826179,9.955438712185416,688322 奥比中光;003015 日久光电,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|光学元件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
23,其它行业,其它行业,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,11.250489,3.4035276563978125,603669 灵康药业;603989 艾华集团;002755 奥赛康,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|其它行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
24,农林牧渔,农林牧渔,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,9,0,0,16.549387,2.769217515593768,000048 京基智农;000592 平潭发展;002124 天邦食品;002385 大北农;002567 唐人神,已有业务行业但未映射冻结主题 | CLX组内9只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|农林牧渔,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
25,半导体材料,半导体材料,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,25.898413,3.664459161147904,688126 沪硅产业,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|半导体材料,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
26,商业百货,商业百货,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,4,0,0,17.664357,4.245235865270297,600998 九州通;000062 深圳华强;000889 中嘉博创;600821 金开新能,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|商业百货,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
27,有机硅,有机硅,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,11.4344,1.928571428571435,300821 东岳硅材,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|有机硅,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
28,核电核能,核电核能,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,20.032661,11.854151739511188,300489 光智科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|核电核能,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
29,汽车零部件/整车,汽车零部件/整车,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,17.133833999999997,10.257365832963757,301626 苏州天脉;301529 福赛科技;301550 斯菱智驱,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|汽车零部件/整车,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
30,煤炭行业,煤炭行业,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,14.467372000000001,0.4366229520617641,600179 安通控股;601225 陕西煤业;000723 美锦能源,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|煤炭行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
31,电器行业,电器行业,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,10.827777000000001,5.401831578729044,002266 浙富控股;002647 仁东控股;002380 科远智慧,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|电器行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
32,电子器件,电子器件,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,7,0,0,29.080605,4.527324183845053,002638 勤上股份;002402 和而泰;300154 瑞凌股份;300224 正海磁材;300269 联建光电,已有业务行业但未映射冻结主题 | CLX组内7只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|电子器件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
33,证券,证券,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,5,0,0,28.481455,0.8004246813525651,600909 华安证券;601108 财通证券;601059 信达证券;601878 浙商证券;601881 中国银河,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|证券,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
34,通信网络设备及器件,通信网络设备及器件,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,12.009638,9.67779122716006,688668 鼎通科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|通信网络设备及器件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
35,锂电池,锂电池,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,12.164356,6.864009378663538,002850 科达利,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|锂电池,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
36,陶瓷行业,陶瓷行业,unclassified,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,12.7737,3.809523809523796,603268 松发股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|2|5|4|2|陶瓷行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
37,公路桥梁,公路桥梁,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.588195,4.224058769513306,600350 山东高速,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|公路桥梁,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
38,公路货运,公路货运,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.790547,6.468172484599588,603223 恒通股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|公路货运,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
39,其他交运设备,其他交运设备,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,7.050516,11.798497569597878,301345 涛涛车业,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|其他交运设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
40,其他化学制品,其他化学制品,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,5.01315,7.958937691588219,301373 凌玮科技;301395 仁信新材,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|其他化学制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
41,其他数字媒体,其他数字媒体,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,8.257128999999999,10.021551724137945,603466 风语筑,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|其他数字媒体,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
42,其它视听器材,其它视听器材,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.6396,3.826530612244916,002848 高斯贝尔,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|其它视听器材,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
43,化学原料药,化学原料药,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,9.129480000000001,2.531132298285732,300765 石药创新;301277 新天地;301301 川宁生物;603229 奥翔药业,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|化学原料药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
44,化工材料,化工材料,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,6,0,0,7.869052,5.414257831450271,001359 平安电工;001356 富岭股份;001395 亚联机械;301618 长联科技;603004 鼎龙科技,已有业务行业但未映射冻结主题 | CLX组内6只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|化工材料,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
45,医疗设备,医疗设备,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,7.8742090000000005,8.552489689316404,688677 海泰新光;688580 伟思医疗;688626 翔宇医疗,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|医疗设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
46,华为海思,华为海思,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,9.920879000000001,8.69156837046745,603738 泰晶科技;300609 汇纳科技,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|华为海思,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
47,塑料制品,塑料制品,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,3.6176719999999998,3.646952293532457,300221 银禧科技;300218 安利股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|塑料制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
48,工控设备,工控设备,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,3.179317,9.257964645960271,688160 步科股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|工控设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
49,工程咨询服务,工程咨询服务,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,3.29949,8.009718925559195,300668 杰恩股份;301024 霍普股份;603909 建发合诚,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|工程咨询服务,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
50,有色金属/战略资源,有色金属/战略资源,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,9.775333,4.552670564754561,688480 赛恩斯;688530 欧莱新材;001257 盛龙股份,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|有色金属/战略资源,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
51,氟化工及制冷剂,氟化工及制冷剂,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,8.300955,2.2207153754873588,603379 三美股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|氟化工及制冷剂,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
52,水电,水电,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,3.064613,-0.1972386587771324,600025 华能水电,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|水电,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
53,照明设备,照明设备,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.018127,4.223806911684025,603303 得邦照明,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|照明设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
